team,league,matches_played,avg_yellows_per_game,avg_reds_per_game,avg_fouls_per_game,yellow_trend,aggression_index,home_yellow_avg,away_yellow_avg,away_card_premium,last_match_date,days_since_last,matches_last_21d,matches_last_7d
Las Palmas,Segunda,440.0,2.584,0.123,13.045,-0.5743,0.4601,2.52,2.648,0.128,2026-05-24,7,3,1
Latina,SerieB,,,,,,,,,,2017-05-18,3300,0,0
Laval,Ligue2,144.0,1.986,0.118,14.431,-0.0937,0.4693,1.931,2.042,0.111,2026-05-09,22,0,0
Lazio,SerieA,796.0,2.299,0.177,14.563,0.0004,0.5275,2.141,2.456,0.315,2026-05-23,8,2,0
Le Havre,Ligue1,320.0,1.812,0.134,13.219,0.1034,0.3875,1.762,1.862,0.1,2026-05-17,14,2,0
Le Mans,Ligue2,176.0,2.017,0.142,17.301,-0.1572,0.6381,1.784,2.25,0.466,2026-05-09,22,0,0
Lecce,SerieA,453.0,2.258,0.141,15.179,-0.0701,0.5472,2.119,2.396,0.277,2026-05-24,7,2,1
Lecco,SerieB,38.0,2.684,0.105,12.421,-0.0686,0.4318,2.684,2.684,0.0,2024-05-10,751,0,0
Leeds,EPL,976.0,1.817,0.085,12.24,-0.0642,0.3202,1.712,1.92,0.208,2026-05-24,7,3,1
Leganes,Segunda,399.0,2.642,0.11,14.348,0.0221,0.5351,2.518,2.765,0.247,2026-05-24,7,3,1
Leicester,Championship,1025.0,1.543,0.086,11.513,0.1015,0.25,1.345,1.742,0.397,2026-05-02,29,0,0
Leipzig,Bundesliga2,,,,,,,,,,1998-06-07,10220,0,0
Lens,Ligue1,434.0,1.926,0.124,14.341,-0.0656,0.4594,1.719,2.134,0.415,2026-05-17,14,2,0
Leonesa,Segunda,42.0,2.738,0.119,12.786,0.3513,0.4617,2.762,2.714,-0.048,2018-06-02,2920,0,0
Lerida,Segunda,,,,,,,,,,1994-05-15,11704,0,0
Levante,LaLiga,658.0,2.647,0.131,14.581,-0.169,0.5542,2.517,2.778,0.261,2026-05-23,8,3,0
Leverkusen,Bundesliga,836.0,1.903,0.097,14.621,-0.0542,0.4647,1.695,2.113,0.418,2026-05-16,15,1,0
Libourne,Ligue2,,,,,,,,,,2008-05-16,6589,0,0
Lille,Ligue1,700.0,1.836,0.103,13.887,0.5798,0.4184,1.581,2.092,0.51,2026-05-17,14,2,0
Liverpool,EPL,979.0,1.347,0.056,10.718,0.0391,0.1761,1.064,1.629,0.566,2026-05-24,7,2,1
Livingston,ScottishPrem,404.0,1.936,0.097,13.681,-0.1734,0.4162,1.944,1.928,-0.017,2026-05-17,14,2,0
Livorno,SerieB,263.0,2.278,0.148,17.213,-0.3414,0.6638,2.265,2.29,0.025,2020-07-31,2130,0,0
Llagostera,Segunda,,,,,,,,,,2016-06-04,3648,0,0
Lleida,Segunda,,,,,,,,,,2006-06-17,7288,0,0
Logrones,Segunda,42.0,2.214,0.095,16.0,0.129,0.575,2.238,2.19,-0.048,2021-05-30,1827,0,0
Lorca,Segunda,42.0,2.476,0.119,15.429,-0.1115,0.579,2.333,2.619,0.286,2018-06-01,2921,0,0
Lorient,Ligue1,662.0,1.55,0.094,12.346,-0.0967,0.2989,1.429,1.671,0.242,2026-05-17,14,2,0
Louhans-Cuis.,Ligue2,,,,,,,,,,2000-05-20,9507,0,0
Lubeck,Bundesliga2,,,,,,,,,,2003-08-08,8332,0,0
Lugo,Segunda,251.0,2.586,0.159,14.876,-0.2265,0.5717,2.464,2.706,0.242,2023-05-27,1100,0,0
Luton,Championship,360.0,1.636,0.069,12.306,-0.2054,0.2996,1.461,1.811,0.35,2025-05-03,393,0,0
Lyon,Ligue1,698.0,1.639,0.123,13.936,-0.0848,0.4049,1.428,1.849,0.42,2026-05-17,14,2,0
M'Gladbach,Bundesliga,,,,,,,,,,1994-05-07,11712,0,0
M'gladbach,Bundesliga,786.0,1.742,0.067,13.752,0.4354,0.3907,1.609,1.875,0.266,2026-05-16,15,1,0
Magdeburg,Bundesliga2,170.0,2.341,0.094,11.253,-0.1457,0.3262,2.129,2.553,0.424,2026-05-17,14,1,0
Mainz,Bundesliga,730.0,1.868,0.084,15.119,-0.3578,0.4848,1.766,1.97,0.203,2026-05-16,15,2,0
Malaga,Segunda,710.0,2.601,0.186,14.913,-0.2312,0.5828,2.525,2.678,0.153,2026-05-24,7,2,1
Malaga B,Segunda,,,,,,,,,,2006-06-17,7288,0,0
Mallorca,LaLiga,615.0,2.54,0.148,15.618,-0.3307,0.6045,2.492,2.588,0.096,2026-05-23,8,4,0
Mallorca B,Segunda,,,,,,,,,,1999-06-20,9842,0,0
Man City,EPL,987.0,1.523,0.077,10.774,-0.1463,0.2044,1.286,1.759,0.473,2026-05-24,7,3,1
Man United,EPL,979.0,1.631,0.058,11.127,0.4713,0.2307,1.418,1.845,0.426,2026-05-24,7,2,1
Mannheim,Bundesliga2,50.0,1.76,0.16,16.3,0.0795,0.5593,1.654,1.875,0.221,2003-04-04,8458,0,0
Mantova,SerieB,76.0,2.368,0.079,16.132,-0.0289,0.5948,2.263,2.474,0.211,2026-05-08,23,0,0
Marseille,Ligue1,699.0,1.838,0.123,13.848,0.4143,0.4221,1.611,2.066,0.454,2026-05-17,14,2,0
Martigues,Ligue2,34.0,1.735,0.206,12.706,-0.078,0.3704,1.647,1.824,0.176,2025-05-10,386,0,0
Meppen,Bundesliga2,,,,,,,,,,1998-06-07,10220,0,0
Merida,Segunda,,,,,,,,,,2000-06-04,9492,0,0
Messina,SerieB,74.0,2.689,0.311,18.878,0.1156,0.8464,2.703,2.676,-0.027,2008-06-01,6573,0,0
Metz,Ligue1,434.0,1.862,0.134,13.7,-0.1406,0.4194,1.682,2.041,0.359,2026-05-17,14,2,0
Middlesbrough,Championship,1108.0,1.614,0.079,11.538,-0.0705,0.2571,1.418,1.81,0.392,2026-05-02,29,0,0
Milan,SerieA,798.0,2.031,0.147,13.925,-0.0647,0.4542,1.812,2.251,0.439,2026-05-24,7,3,1
Millwall,Championship,857.0,1.732,0.082,12.776,-0.1915,0.3395,1.569,1.895,0.326,2026-05-02,29,0,0
Milton Keynes Dons,Championship,46.0,1.804,0.087,10.63,-0.3349,0.2304,1.348,2.261,0.913,2016-05-07,3676,0,0
Mirandes,Segunda,293.0,2.273,0.109,13.044,0.0998,0.4219,2.238,2.308,0.07,2026-05-24,7,3,1
Modena,SerieB,152.0,2.388,0.092,13.862,-0.33,0.4751,2.184,2.592,0.408,2026-05-08,23,0,0
Monaco,Ligue1,624.0,1.957,0.133,14.479,-0.029,0.4728,1.772,2.141,0.369,2026-05-17,14,2,0
Montpellier,Ligue2,624.0,1.809,0.165,13.981,-0.2815,0.4378,1.74,1.878,0.138,2026-05-09,22,0,0
Monza,SerieB,228.0,2.281,0.118,13.724,-0.2546,0.4629,2.035,2.526,0.491,2026-05-08,23,0,0
Motherwell,ScottishPrem,933.0,1.72,0.106,12.913,0.3951,0.3526,1.555,1.883,0.328,2026-05-16,15,2,0
Mulhouse,Ligue2,,,,,,,,,,1998-05-08,10250,0,0
Munich 1860,Bundesliga2,125.0,2.136,0.136,19.472,-0.2509,0.7697,1.855,2.413,0.558,2017-05-21,3297,0,0
Murcia,Segunda,38.0,2.816,0.158,17.395,-0.0056,0.736,2.632,3.0,0.368,2014-06-07,4376,0,0
Nancy,Ligue2,440.0,1.764,0.152,15.466,0.0773,0.5114,1.518,2.009,0.491,2026-05-09,22,0,0
Nantes,Ligue1,509.0,1.888,0.102,13.847,-0.0996,0.4217,1.717,2.059,0.342,2026-05-08,23,0,0
Napoli,SerieA,722.0,1.907,0.091,12.652,-0.5281,0.3548,1.723,2.091,0.368,2026-05-24,7,3,1
Newcastle,EPL,994.0,1.615,0.082,11.404,0.1148,0.251,1.457,1.773,0.316,2026-05-24,7,3,1
Nice,Ligue1,700.0,1.839,0.126,13.223,-0.2385,0.3883,1.632,2.046,0.413,2026-05-17,14,2,0
Nimes,Ligue2,180.0,1.772,0.122,12.644,-0.0972,0.348,1.733,1.811,0.078,2023-06-02,1094,0,0
Niort,Ligue2,179.0,1.782,0.134,13.402,-0.6633,0.3942,1.618,1.944,0.326,2023-06-02,1094,0,0
Nocerina,SerieB,,,,,,,,,,2012-05-26,5118,0,0
Norwich,Championship,1089.0,1.571,0.062,11.695,0.6548,0.2567,1.417,1.725,0.307,2026-05-02,29,0,0
Nott'm Forest,EPL,1010.0,1.722,0.087,11.824,0.1616,0.2873,1.566,1.877,0.311,2026-05-24,7,3,1
Notts County,Championship,,,,,,,,,,1995-05-07,11347,0,0
Novara,SerieB,80.0,2.275,0.15,15.95,0.0989,0.5941,2.15,2.4,0.25,2018-05-18,2935,0,0
Numancia,Segunda,163.0,2.344,0.16,14.883,0.2801,0.5453,2.136,2.549,0.413,2020-07-20,2141,0,0
Nurnberg,Bundesliga2,661.0,2.05,0.094,14.498,0.0244,0.4733,1.885,2.215,0.33,2026-05-17,14,1,0
Oberhausen,Bundesliga2,49.0,2.0,0.122,15.02,-0.3,0.5046,1.826,2.154,0.328,2011-05-15,5495,0,0
Offenbach,Bundesliga2,34.0,1.765,0.088,19.353,0.0767,0.7088,1.765,1.765,0.0,2008-05-18,6587,0,0
Oldenburg,Bundesliga2,,,,,,,,,,1997-06-11,10581,0,0
Oldham,Championship,,,,,,,,,,1997-05-04,10619,0,0
Orense,Segunda,,,,,,,,,,1998-05-16,10242,0,0
Orleans,Ligue2,66.0,2.136,0.167,14.864,-0.1106,0.5233,1.727,2.545,0.818,2020-03-09,2274,0,0
Osasuna,LaLiga,729.0,2.546,0.165,15.296,-0.018,0.592,2.489,2.603,0.114,2026-05-23,8,3,0
Osnabruck,Bundesliga2,117.0,2.145,0.145,12.487,-0.1143,0.3869,1.895,2.383,0.489,2024-05-19,742,0,0
Ourense,Segunda,,,,,,,,,,1999-06-19,9843,0,0
Oviedo,LaLiga,373.0,2.544,0.147,14.375,-0.2532,0.5361,2.348,2.742,0.394,2026-05-23,8,4,0
