team,league,matches_played,avg_yellows_per_game,avg_reds_per_game,avg_fouls_per_game,yellow_trend,aggression_index,home_yellow_avg,away_yellow_avg,away_card_premium,last_match_date,days_since_last,matches_last_21d,matches_last_7d
Stoke,Championship,1007.0,1.783,0.082,12.077,-0.1585,0.3067,1.662,1.903,0.241,2026-05-02,29,0,0
Strasbourg,Ligue1,357.0,1.779,0.104,13.529,-0.2691,0.3925,1.758,1.799,0.04,2026-05-17,14,3,0
Stuttgart,Bundesliga,804.0,1.917,0.109,14.759,-0.1652,0.4773,1.741,2.092,0.351,2026-05-16,15,1,0
Stuttgarter K,Bundesliga2,16.0,1.562,0.125,13.25,0.28,0.359,1.778,1.286,-0.492,2001-05-20,9142,0,0
Sudtirol,SerieB,152.0,2.329,0.099,14.882,0.0305,0.5268,2.105,2.553,0.447,2026-05-08,23,0,0
Sunderland,EPL,879.0,1.833,0.094,12.003,0.3641,0.3115,1.627,2.039,0.411,2026-05-24,7,2,1
Swansea,Championship,772.0,1.523,0.053,9.983,0.2473,0.1541,1.438,1.609,0.171,2026-05-02,29,0,0
Swindon,Championship,,,,,,,,,,2000-05-07,9520,0,0
TB Berlin,Bundesliga2,,,,,,,,,,2000-05-25,9502,0,0
Tenerife,Segunda,373.0,2.756,0.158,15.59,0.016,0.6297,2.642,2.871,0.229,2025-06-01,364,0,0
Ternana,SerieB,156.0,2.372,0.122,13.679,0.0119,0.4714,2.308,2.436,0.128,2024-05-10,751,0,0
Terrassa,Segunda,,,,,,,,,,2005-06-18,7652,0,0
Toledo,Segunda,,,,,,,,,,2000-06-03,9493,0,0
Torino,SerieA,646.0,2.282,0.108,15.813,-0.3864,0.5757,1.975,2.588,0.613,2026-05-24,7,2,1
Tottenham,EPL,979.0,1.626,0.069,11.231,0.8448,0.239,1.461,1.791,0.33,2026-05-24,7,3,1
Toulon,Ligue2,,,,,,,,,,1998-05-08,10250,0,0
Toulouse,Ligue1,699.0,1.894,0.123,15.728,0.3727,0.5322,1.722,2.066,0.344,2026-05-10,21,1,0
Tours,Ligue2,,,,,,,,,,2018-05-11,2942,0,0
Tranmere,Championship,46.0,1.696,0.109,14.109,-0.1154,0.4167,1.478,1.913,0.435,2001-05-06,9156,0,0
Trapani,SerieB,38.0,2.947,0.237,15.737,-0.0161,0.6807,2.737,3.158,0.421,2020-07-31,2130,0,0
Treviso,SerieB,37.0,2.243,0.135,21.486,-0.0639,0.8927,2.167,2.316,0.149,2009-05-30,6210,0,0
Triestina,SerieB,,,,,,,,,,2011-05-29,5481,0,0
Troyes,Ligue2,399.0,1.827,0.135,12.612,-0.179,0.3558,1.799,1.855,0.056,2026-05-09,22,0,0
U.Las Palmas,Segunda,,,,,,,,,,2001-06-17,9114,0,0
UCAM Murcia,Segunda,,,,,,,,,,2017-06-10,3277,0,0
Udinese,SerieA,797.0,2.164,0.13,14.868,-0.0759,0.5166,2.065,2.263,0.198,2026-05-24,7,2,1
Uerdingen,Bundesliga2,,,,,,,,,,1999-06-17,9845,0,0
Ulm,Bundesliga2,52.0,2.154,0.096,12.731,-0.0714,0.3877,2.28,2.037,-0.243,2025-05-18,378,0,0
Union Berlin,Bundesliga,339.0,1.888,0.083,13.602,-0.2055,0.4027,1.751,2.024,0.272,2026-05-16,15,2,0
Unterhaching,Bundesliga2,102.0,1.696,0.108,16.951,0.5919,0.5738,1.667,1.725,0.059,2007-05-20,6951,0,0
Valence,Ligue2,,,,,,,,,,2003-08-02,8338,0,0
Valencia,LaLiga,798.0,2.555,0.163,14.637,-0.4521,0.556,2.353,2.757,0.404,2026-05-23,8,4,0
Valenciennes,Ligue2,482.0,1.79,0.106,15.604,-0.3856,0.5091,1.764,1.817,0.052,2024-05-17,744,0,0
Valladolid,Segunda,547.0,2.404,0.132,14.049,0.0399,0.4982,2.318,2.491,0.173,2026-05-24,7,2,1
Vallecano,LaLiga,544.0,2.787,0.156,14.708,0.0047,0.5837,2.577,2.996,0.419,2026-05-23,8,4,0
Vannes,Ligue2,,,,,,,,,,2011-05-27,5483,0,0
Varese,SerieB,,,,,,,,,,2015-05-22,4027,0,0
Vecindario,Segunda,,,,,,,,,,2007-06-17,6923,0,0
Venezia,SerieB,344.0,2.172,0.125,13.52,-0.4013,0.4413,2.145,2.198,0.052,2026-05-08,23,0,0
Verona,SerieA,453.0,2.411,0.15,14.7,0.0786,0.54,2.291,2.531,0.24,2026-05-24,7,3,1
Vicenza,SerieB,76.0,2.961,0.145,16.105,-0.1218,0.6771,3.079,2.842,-0.237,2022-05-06,1486,0,0
Villareal,LaLiga,,,,,,,,,,1999-06-20,9842,0,0
Villarreal,LaLiga,760.0,2.404,0.112,13.725,-0.376,0.4747,2.205,2.603,0.397,2026-05-24,7,4,1
Villarreal B,Segunda,84.0,2.262,0.119,12.464,0.1495,0.3913,2.143,2.381,0.238,2024-06-02,728,0,0
Virtus Entella,SerieB,156.0,2.462,0.115,16.423,-0.0656,0.6313,2.244,2.679,0.436,2026-05-08,23,0,0
Virtus Lanciano,SerieB,,,,,,,,,,2016-05-20,3663,0,0
Walsall,Championship,136.0,1.36,0.154,12.515,0.1027,0.3041,1.221,1.5,0.279,2004-05-09,8057,0,0
Wasquehal,Ligue2,,,,,,,,,,2003-01-29,8523,0,0
Watford,Championship,1126.0,1.647,0.091,12.156,0.4576,0.2985,1.546,1.748,0.202,2026-05-02,29,0,0
Wattenscheid,Bundesliga2,,,,,,,,,,1999-06-17,9845,0,0
Wehen,Bundesliga2,68.0,2.338,0.176,12.765,-0.273,0.4322,2.059,2.618,0.559,2024-05-19,742,0,0
Werder Bremen,Bundesliga,836.0,1.989,0.091,15.201,-0.1454,0.5047,1.78,2.199,0.419,2026-05-16,15,1,0
West Brom,Championship,1087.0,1.578,0.075,11.369,0.0775,0.2429,1.411,1.744,0.334,2026-05-02,29,0,0
West Ham,EPL,1001.0,1.657,0.077,11.18,0.3274,0.2417,1.529,1.786,0.257,2026-05-24,7,3,1
Wigan,Championship,659.0,1.695,0.088,12.305,0.003,0.3112,1.464,1.927,0.463,2023-05-08,1119,0,0
Wimbledon,Championship,182.0,1.275,0.115,11.357,-0.294,0.2198,1.011,1.538,0.527,2004-05-09,8057,0,0
Wolfsburg,Bundesliga,837.0,1.916,0.092,15.559,0.0958,0.5168,1.802,2.031,0.229,2026-05-16,15,1,0
Wolves,EPL,1033.0,1.593,0.064,11.91,0.2552,0.2714,1.423,1.766,0.343,2026-05-24,7,2,1
Wrexham,Championship,46.0,1.565,0.022,9.717,-0.2333,0.1354,1.217,1.913,0.696,2026-05-02,29,0,0
Wuppertaler,Bundesliga2,,,,,,,,,,1994-06-11,11677,0,0
Wurzburger Kickers,Bundesliga2,34.0,1.941,0.088,12.441,-0.1242,0.346,2.059,1.824,-0.235,2021-05-23,1834,0,0
Wycombe,Championship,46.0,1.5,0.087,13.587,0.0,0.3602,1.522,1.478,-0.043,2021-05-08,1849,0,0
Xerez,Segunda,38.0,2.526,0.368,15.184,-0.05,0.64,2.105,2.947,0.842,2013-06-08,4740,0,0
Yeovil,Championship,46.0,1.739,0.087,13.326,-0.31,0.3722,1.565,1.913,0.348,2014-05-03,4411,0,0
Zaragoza,Segunda,642.0,2.67,0.17,15.107,0.2735,0.5966,2.547,2.792,0.245,2026-05-24,7,2,1
Zwickau,Bundesliga2,,,,,,,,,,1998-06-07,10220,0,0
