match_date,league,home_team,away_team,home_result_momentum,home_score_momentum,home_elo_momentum,home_scoring_trend,home_concession_trend,home_streak,away_result_momentum,away_score_momentum,away_elo_momentum,away_scoring_trend,away_concession_trend,away_streak,momentum_diff,actual_result
2020-09-13,Ligue1,Monaco,Nantes,0.75,0.5625,0.0,0.0,0.0,0.6,0.75,0.5625,0.0,0.0,0.0,0.6,0.0,1.0
2020-09-13,Ligue1,Paris SG,Marseille,0.5,0.5,0.0,0.0,0.0,0.4,0.5,0.5,0.0,0.0,0.0,0.6,-0.033333,0.0
2020-09-14,EPL,Brighton,Chelsea,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0
2020-09-14,EPL,Sheffield United,Wolves,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0
2020-09-15,Ligue1,Montpellier,Lyon,0.625,0.5875,0.0,0.0,0.0,0.6,0.583333,0.6125,0.0,0.0,0.0,0.5,0.019444,1.0
2020-09-16,Ligue1,Paris SG,Metz,0.0,0.4,0.0,0.0,0.0,0.3,0.0,0.4,0.0,0.0,0.0,0.3,0.0,1.0
2020-09-17,Ligue1,Marseille,St Etienne,1.0,0.6,0.0,0.0,0.0,0.7,1.0,0.7,0.0,0.0,0.0,0.7,-0.016667,0.0
2020-09-18,Ligue1,Lyon,Nimes,0.285714,0.504082,0.0,-1.0,-0.5,0.4,0.183673,0.440816,0.0,-1.0,-1.0,0.3,0.127551,0.5
2020-09-18,Bundesliga,Bayern Munich,Schalke 04,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,1.0
2020-09-19,Bundesliga,Union Berlin,Augsburg,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0
2020-09-19,EPL,Man United,Crystal Palace,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.6,-0.016667,0.0
2020-09-19,EPL,Leeds,Fulham,0.5,0.5,0.0,0.0,0.0,0.4,0.5,0.5,0.0,0.0,0.0,0.4,0.0,1.0
2020-09-19,EPL,Everton,West Brom,0.5,0.5,0.0,0.0,0.0,0.6,0.5,0.5,0.0,0.0,0.0,0.4,0.033333,1.0
2020-09-19,Bundesliga,Dortmund,M'gladbach,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,1.0
2020-09-19,SerieA,Verona,Roma,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5
2020-09-19,SerieA,Fiorentina,Torino,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,1.0
2020-09-19,LaLiga,Villarreal,Eibar,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,1.0
2020-09-19,LaLiga,Celta,Valencia,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.6,-0.016667,1.0
2020-09-19,LaLiga,Getafe,Osasuna,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.6,-0.016667,1.0
2020-09-19,Bundesliga,Ein Frankfurt,Bielefeld,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5
2020-09-19,Bundesliga,FC Koln,Hoffenheim,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0
2020-09-19,Bundesliga,Stuttgart,Freiburg,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0
2020-09-19,Ligue1,Rennes,Monaco,0.877551,0.632653,0.232821,1.0,-0.5,0.7,0.877551,0.581633,0.0,0.0,0.5,0.7,0.047307,1.0
2020-09-19,EPL,Arsenal,West Ham,0.5,0.5,0.0,0.0,0.0,0.6,0.5,0.5,0.0,0.0,0.0,0.4,0.033333,1.0
2020-09-19,Ligue1,Lens,Bordeaux,0.816327,0.563265,0.0,1.0,-0.0,0.7,0.537415,0.561224,0.116006,0.0,-0.0,0.5,0.227491,1.0
2020-09-19,Bundesliga,Werder Bremen,Hertha,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0
2020-09-20,Ligue1,Metz,Reims,0.0,0.4,0.0,0.0,-0.0,0.2,0.061224,0.418367,-0.194835,-1.0,0.5,0.3,0.085874,1.0
2020-09-20,Ligue1,Brest,Lorient,0.510204,0.497959,-0.096708,1.0,1.0,0.6,0.183673,0.42449,-0.122169,-0.5,-1.0,0.3,0.704244,1.0
2020-09-20,SerieA,Parma,Napoli,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0
2020-09-20,Ligue1,Nice,Paris SG,0.489796,0.477551,0.106272,-0.5,-1.0,0.4,0.510204,0.502041,0.0,0.5,0.5,0.6,-0.439771,0.0
2020-09-20,SerieA,Genoa,Crotone,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,1.0
2020-09-20,SerieA,Sassuolo,Cagliari,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5
2020-09-20,SerieA,Juventus,Sampdoria,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,1.0
2020-09-20,EPL,Southampton,Tottenham,0.5,0.5,0.0,0.0,0.0,0.4,0.5,0.5,0.0,0.0,0.0,0.4,0.0,0.0
2020-09-20,EPL,Leicester,Burnley,0.5,0.5,0.0,0.0,0.0,0.6,0.5,0.5,0.0,0.0,0.0,0.5,0.016667,1.0
2020-09-20,EPL,Chelsea,Liverpool,0.5,0.5,0.0,0.0,0.0,0.6,0.5,0.5,0.0,0.0,0.0,0.6,0.0,0.0
2020-09-20,Ligue1,Montpellier,Angers,0.816327,0.593878,0.0,0.5,0.5,0.7,0.693878,0.508163,0.06622,0.0,-0.0,0.6,0.20699,1.0
2020-09-20,Bundesliga,Wolfsburg,Leverkusen,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5
2020-09-20,Bundesliga,RB Leipzig,Mainz,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,1.0
2020-09-20,Ligue1,Strasbourg,Dijon,0.0,0.3,-0.320266,-0.5,0.5,0.2,0.0,0.287755,-0.359838,0.0,-0.5,0.2,0.09197,1.0
2020-09-20,Ligue1,Nantes,St Etienne,0.367347,0.479592,0.01465,0.5,-1.0,0.4,1.0,0.7,0.0,0.0,-0.0,0.8,-0.289735,0.5
2020-09-20,Ligue1,Marseille,Lille,0.489796,0.446939,0.0,-1.0,-0.0,0.4,0.877551,0.581633,0.190797,0.0,0.5,0.7,-0.418874,0.5
2020-09-20,EPL,Newcastle,Brighton,0.5,0.5,0.0,0.0,0.0,0.6,0.5,0.5,0.0,0.0,0.0,0.4,0.033333,0.0
2020-09-20,LaLiga,Granada,Alaves,0.5,0.5,0.0,0.0,0.0,0.6,0.5,0.5,0.0,0.0,0.0,0.4,0.033333,1.0
2020-09-20,LaLiga,Sociedad,Real Madrid,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5
2020-09-20,LaLiga,Huesca,Cadiz,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.4,0.016667,0.0
2020-09-20,LaLiga,Betis,Valladolid,0.5,0.5,0.0,0.0,0.0,0.6,0.5,0.5,0.0,0.0,0.0,0.5,0.016667,1.0
2020-09-21,SerieA,Milan,Bologna,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,1.0
2020-09-21,EPL,Wolves,Man City,0.5,0.5,0.0,0.0,0.0,0.6,0.5,0.5,0.0,0.0,0.0,0.5,0.016667,0.0
2020-09-21,EPL,Aston Villa,Sheffield United,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.4,0.016667,1.0
2020-09-25,Ligue1,Lille,Nantes,0.627451,0.544118,0.199998,0.0,-0.0,0.5,0.351716,0.488971,0.010429,0.5,-0.7,0.5,0.120075,1.0
2020-09-25,Bundesliga,Hertha,Ein Frankfurt,0.5,0.5,0.0,0.0,0.0,0.6,0.5,0.5,0.0,0.0,0.0,0.5,0.016667,0.0
2020-09-26,Ligue1,St Etienne,Rennes,0.693627,0.608088,0.0,0.0,-0.6,0.5,0.933824,0.617647,0.309542,0.5,-0.1,0.8,-0.309883,0.0
2020-09-26,Ligue1,Marseille,Metz,0.417892,0.471324,0.0,-0.7,0.1,0.5,0.459559,0.491912,0.0,0.6,-0.0,0.6,-0.227042,0.5
2020-09-26,SerieA,Torino,Atalanta,0.5,0.5,0.0,0.0,0.0,0.4,0.5,0.5,0.0,0.0,0.0,0.5,-0.016667,0.0
2020-09-26,SerieA,Inter,Fiorentina,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.6,-0.016667,1.0
2020-09-26,Bundesliga,Schalke 04,Werder Bremen,0.5,0.5,0.0,0.0,0.0,0.4,0.5,0.5,0.0,0.0,0.0,0.4,0.0,0.0
2020-09-26,Bundesliga,M'gladbach,Union Berlin,0.5,0.5,0.0,0.0,0.0,0.4,0.5,0.5,0.0,0.0,0.0,0.4,0.0,0.5
2020-09-26,Bundesliga,Leverkusen,RB Leipzig,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.6,-0.016667,0.5
2020-09-26,Bundesliga,Bielefeld,FC Koln,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.4,0.016667,1.0
2020-09-26,SerieA,Sampdoria,Benevento,0.5,0.5,0.0,0.0,0.0,0.4,0.5,0.5,0.0,0.0,0.0,0.5,-0.016667,0.0
2020-09-26,EPL,Brighton,Man United,0.625,0.6125,0.0,0.0,0.0,0.6,0.5,0.5,0.0,0.0,0.0,0.4,0.072917,0.0
2020-09-26,EPL,Crystal Palace,Everton,1.0,0.6625,0.0,0.0,0.0,0.7,1.0,0.725,0.0,0.0,0.0,0.7,-0.010417,0.0
2020-09-26,Bundesliga,Mainz,Stuttgart,0.5,0.5,0.0,0.0,0.0,0.4,0.5,0.5,0.0,0.0,0.0,0.4,0.0,0.0
2020-09-26,EPL,Burnley,Southampton,0.5,0.5,0.0,0.0,0.0,0.4,0.0,0.275,0.0,0.0,0.0,0.3,0.1375,0.0
2020-09-26,LaLiga,Alaves,Getafe,0.0,0.4,0.0,0.0,0.0,0.3,0.5,0.5,0.0,0.0,0.0,0.6,-0.15,0.5
2020-09-26,EPL,West Brom,Chelsea,0.0,0.2,0.0,0.0,0.0,0.3,0.375,0.45,0.0,0.0,0.0,0.4,-0.120833,0.5
2020-09-26,LaLiga,Elche,Sociedad,0.5,0.5,0.0,0.0,0.0,0.5,0.333333,0.5,0.0,0.0,0.0,0.5,0.027778,0.0
2020-09-26,LaLiga,Betis,Real Madrid,1.0,0.6625,0.0,0.0,0.0,0.7,0.5,0.5,0.0,0.0,0.0,0.5,0.14375,0.0
2020-09-26,Bundesliga,Augsburg,Dortmund,0.5,0.5,0.0,0.0,0.0,0.6,0.5,0.5,0.0,0.0,0.0,0.6,0.0,1.0
2020-09-26,LaLiga,Valencia,Huesca,0.375,0.5125,0.0,0.0,0.0,0.4,0.125,0.375,0.0,0.0,0.0,0.4,0.064583,0.5
2020-09-26,SerieA,Cagliari,Lazio,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0
2020-09-27,Ligue1,Bordeaux,Nice,0.290441,0.487132,0.038392,0.1,-0.6,0.4,0.264706,0.35,-0.137344,-0.7,-0.9,0.3,0.256434,0.5
2020-09-27,Ligue1,Angers,Brest,0.375,0.366544,-0.160835,0.1,-1.0,0.4,0.735294,0.544853,0.108244,0.9,0.9,0.7,-0.634614,1.0
2020-09-27,Ligue1,Dijon,Montpellier,0.0,0.339338,-0.328926,-0.1,0.2,0.1,0.900735,0.688603,0.222828,0.8,0.3,0.8,-0.583626,0.5
