match_date,match_time,league,home_team,away_team,home_elo,away_elo,p_home,p_draw,p_away,best_home_odds,best_draw_odds,best_away_odds,edge_home,edge_draw,edge_away,value_outcome,value_edge,value_odds,value_p_model,model
2026-06-23,20:00,FIFA World Cup,England,Ghana,2006.5,1589.8,0.8709,0.05,0.0791,1.25,7.0,17.5,0.0709,-0.0929,0.022,H,0.0709,1.25,0.8709,ensemble
2026-06-23,23:00,FIFA World Cup,Panama,Croatia,1771.0,1922.3,0.2429,0.1771,0.5801,7.5,4.2,1.58,0.1096,-0.061,-0.0528,H,0.1096,7.5,0.2429,ensemble
2026-06-24,02:00,FIFA World Cup,Colombia,DR Congo,1997.5,1703.0,0.7664,0.093,0.1406,1.55,4.5,8.5,0.1212,-0.1292,0.023,H,0.1212,1.55,0.7664,elo
2026-06-24,19:00,FIFA World Cup,Bosnia & Herzegovina,Qatar,1644.7,1609.2,0.4024,0.2695,0.3281,1.48,5.1,7.75,-0.2733,0.0734,0.1991,A,0.1991,7.75,0.3281,elo
2026-06-24,19:00,FIFA World Cup,Switzerland,Canada,1886.7,1829.1,0.4361,0.2507,0.3131,2.57,3.25,3.33,0.047,-0.0569,0.0128,,,,,elo
2026-06-24,22:00,FIFA World Cup,Scotland,Brazil,1791.4,2007.3,0.1939,0.1344,0.6718,8.9,5.6,1.42,0.0815,-0.0442,-0.0325,H,0.0815,8.9,0.1939,elo
2026-06-24,22:00,FIFA World Cup,Morocco,Haiti,1951.7,1618.3,0.805,0.0768,0.1182,1.23,7.8,20.0,-0.008,-0.0514,0.0682,A,0.0682,20.0,0.1182,elo
2026-06-25,01:00,FIFA World Cup,Czech Republic,Mexico,1746.0,1912.9,0.2307,0.166,0.6032,3.85,4.1,2.03,-0.029,-0.0779,0.1106,A,0.1106,2.03,0.6032,elo
2026-06-25,01:00,FIFA World Cup,South Africa,South Korea,1641.8,1868.6,0.1859,0.1279,0.6861,6.2,4.1,1.66,0.0246,-0.116,0.0837,A,0.0837,1.66,0.6861,elo
2026-06-25,20:00,FIFA World Cup,Curaçao,Ivory Coast,1534.8,1841.3,0.1334,0.0877,0.7789,25.0,10.0,1.18,0.0934,-0.0123,-0.0686,H,0.0934,25.0,0.1334,elo
2026-06-25,20:00,FIFA World Cup,Ecuador,Germany,1899.3,1981.7,0.2953,0.2302,0.4745,3.85,4.2,2.02,0.0356,-0.0079,-0.0205,,,,,elo
2026-06-25,23:00,FIFA World Cup,Japan,Sweden,1938.8,1791.4,0.5744,0.1798,0.2458,2.05,3.6,4.5,0.0866,-0.098,0.0236,H,0.0866,2.05,0.5744,elo
2026-06-25,23:00,FIFA World Cup,Tunisia,Netherlands,1662.3,1961.5,0.1378,0.0909,0.7713,25.0,10.0,1.16,0.0978,-0.0091,-0.0908,H,0.0978,25.0,0.1378,elo
2026-06-26,02:00,FIFA World Cup,Paraguay,Australia,1794.6,1878.8,0.2939,0.2286,0.4775,3.04,2.34,4.25,-0.035,-0.1987,0.2422,A,0.2422,4.25,0.4775,elo
2026-06-26,02:00,FIFA World Cup,Turkey,USA,1860.8,1842.5,0.3766,0.2843,0.3391,3.6,4.3,2.09,0.0989,0.0517,-0.1394,H,0.0989,3.6,0.3766,elo
2026-06-26,19:00,FIFA World Cup,Norway,France,1902.1,2080.2,0.2222,0.1584,0.6195,4.75,4.0,1.84,0.0116,-0.0916,0.076,A,0.076,1.84,0.6195,elo
2026-06-26,19:00,FIFA World Cup,Senegal,Iraq,1860.8,1695.5,0.6009,0.1671,0.232,1.37,5.9,12.0,-0.129,-0.0024,0.1486,A,0.1486,12.0,0.232,elo
2026-06-27,00:00,FIFA World Cup,Cape Verde,Saudi Arabia,1655.0,1689.6,0.3286,0.2702,0.4012,2.74,3.95,2.63,-0.0363,0.017,0.021,,,,,elo
2026-06-27,00:00,FIFA World Cup,Uruguay,Spain,1897.7,2121.2,0.1883,0.1299,0.6818,6.6,4.7,1.58,0.0368,-0.0829,0.0489,,,,,elo
2026-06-27,03:00,FIFA World Cup,New Zealand,Belgium,1674.0,1908.2,0.1806,0.1237,0.6957,15.0,7.4,1.24,0.1139,-0.0115,-0.1107,H,0.1139,15.0,0.1806,elo
2026-06-27,03:00,FIFA World Cup,Egypt,Iran,1801.7,1843.2,0.3241,0.2643,0.4116,2.3,3.08,4.33,-0.1107,-0.0603,0.1806,A,0.1806,4.33,0.4116,elo
2026-06-27,21:00,FIFA World Cup,Croatia,Ghana,1922.3,1589.8,0.8043,0.0771,0.1186,1.68,4.0,6.4,0.209,-0.1729,-0.0376,H,0.209,1.68,0.8043,elo
2026-06-27,21:00,FIFA World Cup,Panama,England,1771.0,2006.5,0.1798,0.123,0.6972,13.0,8.0,1.26,0.1028,-0.002,-0.0964,H,0.1028,13.0,0.1798,elo
2026-06-27,23:30,FIFA World Cup,Colombia,Portugal,1997.5,1989.7,0.3613,0.2933,0.3454,3.8,3.8,2.1,0.0982,0.0301,-0.1308,H,0.0982,3.8,0.3613,elo
2026-06-27,23:30,FIFA World Cup,DR Congo,Uzbekistan,1703.0,1769.2,0.307,0.2435,0.4494,2.14,3.95,3.6,-0.1602,-0.0096,0.1716,A,0.1716,3.6,0.4494,elo
2026-06-28,02:00,FIFA World Cup,Algeria,Austria,1836.6,1884.5,0.3198,0.2589,0.4213,3.25,3.15,2.6,0.0121,-0.0585,0.0367,,,,,elo
2026-06-28,02:00,FIFA World Cup,Jordan,Argentina,1689.1,2142.7,0.0656,0.0411,0.8933,15.0,8.4,1.22,-0.0011,-0.078,0.0737,A,0.0737,1.22,0.8933,elo
