match_date,season,league,home_team,away_team,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_win_rate,h2h_goal_diff_avg,h2h_meetings,h2h_dominance,revenge_factor,post_loss_bounce,post_loss_bounce_away,season_position_proxy,is_early_season,home_unbeaten_run,away_unbeaten_run,actual_result
2020-09-18,2020-21,Bundesliga,Bayern Munich,Schalke 04,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,1.0
2020-09-19,2020-21,Bundesliga,Union Berlin,Augsburg,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,0.0
2020-09-19,2020-21,EPL,Man United,Crystal Palace,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,1,0.0
2020-09-19,2020-21,EPL,Leeds,Fulham,0,0,0,0.45,0.0,0,0.0,0,1,1,1,1,0,0,1.0
2020-09-19,2020-21,EPL,Everton,West Brom,0,0,0,0.45,0.0,0,0.0,0,0,1,1,1,1,0,1.0
2020-09-19,2020-21,Bundesliga,Dortmund,M'gladbach,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,1.0
2020-09-19,2020-21,SerieA,Verona,Roma,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,0.5
2020-09-19,2020-21,SerieA,Fiorentina,Torino,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,1.0
2020-09-19,2020-21,LaLiga,Villarreal,Eibar,0,0,0,0.45,0.0,0,0.0,0,0,0,1,1,1,1,1.0
2020-09-19,2020-21,LaLiga,Celta,Valencia,0,0,0,0.45,0.0,0,0.0,0,0,0,1,1,1,1,1.0
2020-09-19,2020-21,LaLiga,Getafe,Osasuna,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,1,1.0
2020-09-19,2020-21,Bundesliga,Ein Frankfurt,Bielefeld,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,0.5
2020-09-19,2020-21,Bundesliga,FC Koln,Hoffenheim,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,0.0
2020-09-19,2020-21,Bundesliga,Stuttgart,Freiburg,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,0.0
2020-09-19,2020-21,Ligue1,Rennes,Monaco,0,0,0,0.45,0.0,0,0.0,0,0,0,3,1,3,3,1.0
2020-09-19,2020-21,EPL,Arsenal,West Ham,0,0,0,0.45,0.0,0,0.0,0,0,1,1,1,1,0,1.0
2020-09-19,2020-21,Ligue1,Lens,Bordeaux,0,0,0,0.45,0.0,0,0.0,0,0,0,3,1,2,3,1.0
2020-09-19,2020-21,Bundesliga,Werder Bremen,Hertha,0,0,0,0.45,0.0,0,0.0,0,0,0,0,1,0,0,0.0
