team,elo_rating
Dundee,1469.27
Guadalajara,1469.07
Juve Stabia,1468.2
Ponferradina,1468.15
Ath Madrid B,1467.52
Pontevedra,1467.18
Dunkerque,1466.82
Aberdeen,1466.75
Villareal,1466.35
Amorebieta,1466.06
UCAM Murcia,1465.32
Kaiserslautern ,1464.2
Modena,1463.69
Perpignan,1462.47
Grenoble,1462.45
Dresden,1460.56
Empoli,1460.17
Gutersloh,1460.08
Evian Thonon Gaillard,1459.14
Rimini,1458.61
Ajaccio,1457.6
Brescia,1455.62
Greuther Furth,1455.17
Leonesa,1454.95
Llagostera,1454.61
Dijon,1454.59
Reggina,1454.5
ŠK Slovan Bratislava,1454.25
FK Kairat,1453.96
Mirandes,1453.53
Foggia,1453.47
Lubeck,1452.95
RB Salzburg,1451.62
Salernitana,1451.57
Real Union,1451.51
Erfurt,1451.47
Sociedad B,1450.39
Bristol City,1449.46
Guingamp,1449.29
PEC Zwolle,1449.24
BSC Young Boys,1449.23
Wasquehal,1448.55
Birmingham,1448.05
Fortuna Sittard,1447.88
Valladolid,1447.85
Wuppertaler,1447.83
Mantova,1447.26
Quevilly Rouen,1447.11
Ascoli,1446.54
SBV Excelsior,1446.03
Aachen,1445.66
St Mirren,1445.52
Aalen,1445.49
Numancia,1442.98
Sabadell,1442.93
Luton,1442.44
Pau FC,1441.69
Braunschweig,1441.25
Avellino,1440.96
Extremadura UD,1439.88
Partick,1439.82
Eldense,1438.98
Clermont,1437.42
Laval,1437.11
Villarreal B,1435.81
Perugia,1435.47
Valence,1435.12
TB Berlin,1434.91
Alcorcon,1434.66
Ternana,1434.54
Portsmouth,1434.12
Sampdoria,1433.99
Poli Ejido,1433.93
Algeciras,1432.93
Carrarese,1432.29
Tenerife,1432.14
Bastia,1432.03
Red Star 93,1431.93
Rayo Majadahonda,1431.74
West Brom,1431.43
Toulon,1431.42
Beziers,1431.29
F Koln,1430.78
Leicester,1429.67
Koblenz,1429.54
Hercules,1429.49
Burghausen,1428.89
Essen,1427.32
Virtus Lanciano,1427.22
Salamanca,1426.69
Chambly,1426.62
Munich 1860,1426.34
Benevento,1424.99
Vannes,1424.77
Offenbach,1424.67
Nocerina,1424.34
Compostela,1424.12
Wycombe,1423.35
Spezia,1422.97
Blackburn,1422.51
Cesena,1421.86
Jaen,1421.78
Pistoiese,1420.91
Concarneau,1420.58
Lerida,1420.56
Duisburg,1420.11
Spal,1419.18
Huesca,1419.17
Sudtirol,1418.52
Saarbrucken,1418.52
Piacenza,1418.48
Leipzig,1418.47
Ulm,1417.93
Granada 74,1417.77
U.Las Palmas,1417.38
Bari,1416.82
Ross County,1416.41
Toledo,1416.0
Notts County,1415.82
PreuÃen MÃ¼nster,1415.14
Novara,1414.72
Padova,1413.98
Preston,1413.92
Sedan,1413.85
Mallorca B,1412.39
Extremadura,1412.11
Cadiz,1411.46
RW Essen,1410.96
Siegen,1410.92
QPR,1410.24
Unterhaching,1409.5
Nimes,1409.44
Stuttgarter K,1409.04
Badajoz,1408.89
Ibiza,1407.7
Cultural Leonesa,1407.07
Orense,1406.47
Ancona,1405.82
Lleida,1405.37
Terrassa,1405.08
Oldham,1404.68
FeralpiSalo,1404.28
Recreativo,1403.82
Mannheim,1403.64
Mulhouse,1402.68
Logrones,1400.1
Uerdingen,1399.82
CZ Jena,1399.77
Boulogne,1399.57
Zaragoza,1398.41
Gretna,1397.84
Messina,1397.84
St Johnstone,1397.83
Alcoyano,1397.72
Bury,1397.71
Barcelona B,1397.38
Frankfurt FSV,1397.27
Latina,1396.72
Homburg,1396.37
Dusseldorf,1396.16
Gimnastic,1395.72
Cittadella,1395.7
Pro Vercelli,1395.3
Watford,1395.2
Fuenlabrada,1395.16
Ecija,1395.03
Vicenza,1394.8
Zwickau,1394.26
Hamilton,1393.7
Wattenscheid,1393.68
Wigan,1393.63
Alessandria,1392.38
RKC Waalwijk,1392.08
Vecindario,1391.4
Portogruaro,1391.27
Oxford,1390.04
Alicante,1389.88
Huddersfield,1389.35
Ravenna,1389.26
Triestina,1388.64
Sandhausen,1388.56
Crewe,1388.5
Nancy,1388.43
Plymouth,1387.81
Gillingham,1387.79
Oldenburg,1387.33
NAC Breda,1387.16
Hansa Rostock,1386.26
SBV Vitesse,1385.58
Charlton,1384.89
Willem II Tilburg,1384.44
Burton,1384.05
Ajaccio GFCO,1383.79
Martigues,1383.54
Creteil,1383.53
Crotone,1381.46
Yeovil,1380.91
Erzgebirge Aue,1380.26
Stoke,1379.79
Ingolstadt,1378.41
Ath Bilbao B,1378.18
Wehen,1378.07
Walsall,1377.91
Volendam,1377.9
Lugo,1377.9
Cannes,1377.14
Cottbus,1376.95
Gueugnon,1376.68
Reggiana,1375.98
Caen,1375.82
Istres,1375.74
Bourg Peronnas,1375.69
Arles,1375.3
Osnabruck,1375.04
Colchester,1374.82
Cosenza,1374.78
Almere,1374.74
Cardiff,1373.5
Wurzburger Kickers,1373.28
Reading,1373.27
Milton Keynes Dons,1372.63
Valenciennes,1372.46
Varese,1372.19
Virtus Entella,1372.02
Libourne,1371.51
Meppen,1371.16
Orleans,1370.9
St Brieuc,1370.37
Malaga B,1370.08
Grosseto,1369.76
Oberhausen,1368.99
Raith Rvs,1368.91
Pescara,1368.77
Carpi,1367.33
Schweinfurt,1365.5
Ferrol,1364.92
Gubbio,1364.56
CA Bastia,1363.82
Regensburg,1363.62
Treviso,1361.95
Dunfermline,1361.39
Blackpool,1358.21
Gallipoli,1357.81
Grimsby,1357.51
Doncaster,1357.29
Peterboro,1355.22
Xerez,1354.96
Sevilla B,1354.72
Scunthorpe,1352.04
Lorca,1350.94
Tours,1348.79
Livingston,1348.04
Sete,1346.37
Ahlen,1346.32
Niort,1346.23
Chateauroux,1344.37
Lecco,1343.97
Southend,1342.89
Tranmere,1339.31
Albinoleffe,1339.13
Amiens,1339.07
Cartagena,1339.02
Swindon,1338.69
Port Vale,1337.9
Barnsley,1335.59
Heracles Almelo,1333.56
FSV Frankfurt,1330.88
Babelsberg,1329.49
Epinal,1327.17
Ourense,1327.12
Louhans-Cuis.,1324.8
Chemnitz,1319.83
Wimbledon,1315.56
Bradford,1305.75
Pordenone,1301.09
Stockport,1296.05
Rotherham,1287.86
Reus Deportiu,1287.75
Livorno,1287.74
Bolton,1277.5
Sheffield Weds,1258.91
