match_date,league,home_team,away_team,outcome,p_model,odds,implied_prob,edge,EV,kelly_fraction,half_kelly,actual_result,won,profit_flat,profit_kelly,clv
2024-03-17,LaLiga,Vallecano,Betis,A,0.4418,3.0,0.3333,0.1216,0.3253,0.1626,0.0813,H,0,-1.0,-0.0813,0.2816
2024-03-23,Segunda,Espanol,Tenerife,H,0.5401,1.95,0.5128,0.0548,0.0532,0.056,0.028,D,0,-1.0,-0.028,0.0518
2024-03-23,Segunda,Villarreal B,Leganes,A,0.4683,2.5,0.4,0.0933,0.1708,0.1139,0.0569,A,1,1.5,0.0854,0.1577
2024-03-24,Segunda,Mirandes,Zaragoza,H,0.4219,2.45,0.4082,0.0548,0.0335,0.0231,0.0116,D,0,-1.0,-0.0116,0.033
2024-03-24,Segunda,Amorebieta,Sp Gijon,H,0.3216,3.5,0.2857,0.0529,0.1256,0.0502,0.0251,H,1,2.5,0.0628,0.1183
2024-03-24,Segunda,Levante,Elche,H,0.4088,2.5,0.4,0.0519,0.0221,0.0147,0.0074,H,1,1.5,0.011,0.0218
2024-03-25,Segunda,Albacete,Ferrol,A,0.3064,4.2,0.2381,0.0914,0.2871,0.0897,0.0449,D,0,-1.0,-0.0449,0.2524
2024-03-29,Championship,Watford,Leeds,H,0.2138,6.0,0.1667,0.0539,0.2826,0.0565,0.0283,D,0,-1.0,-0.0283,0.2489
2024-03-29,Championship,Cardiff,Sunderland,H,0.4201,2.55,0.3922,0.05,0.0713,0.046,0.023,A,0,-1.0,-0.023,0.0689
2024-03-29,Championship,Preston,Rotherham,H,0.6744,1.53,0.6536,0.0569,0.0318,0.0601,0.03,H,1,0.53,0.0159,0.0314
2024-03-30,Segunda,Albacete,Huesca,A,0.3062,4.0,0.25,0.0708,0.2247,0.0749,0.0375,D,0,-1.0,-0.0375,0.2027
2024-03-30,ScottishPrem,St Johnstone,Dundee,H,0.4205,2.7,0.3704,0.0674,0.1353,0.0796,0.0398,A,0,-1.0,-0.0398,0.1269
2024-03-30,Segunda,Valladolid,Levante,A,0.2676,4.75,0.2105,0.0662,0.271,0.0723,0.0361,D,0,-1.0,-0.0361,0.2398
2024-03-30,Segunda,Andorra,Mirandes,A,0.2946,4.75,0.2105,0.0954,0.3994,0.1065,0.0532,H,0,-1.0,-0.0532,0.336
2024-03-30,LaLiga,Almeria,Osasuna,A,0.4185,2.8,0.3571,0.0783,0.1718,0.0955,0.0477,A,1,1.8,0.0859,0.1586
